pair,event_type,lookback_window,session,volatility_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,24,new_york,unknown,2,-8.9240973e-05,-3.6204731e-06,-8.9240973e-05,0.00053670273,0.49090909,0.49090909,0.50909091,0.00054473205,0.00057879023,0.0007084588,55,9.5528565e-05,False
ALL,breakout_high,24,new_york,unknown,4,4.7362301e-06,-6.2827225e-05,4.7362301e-06,0.00072600825,0.41818182,0.41818182,0.58181818,0.00068760156,0.00075699654,0.00098125851,55,0.00013231287,False
ALL,breakout_high,24,new_york,unknown,8,-3.8354887e-05,-6.256901e-05,-3.8354887e-05,0.0011213273,0.45454545,0.45454545,0.54545455,0.001023926,0.00095569898,0.001586656,55,0.00021394465,False
ALL,breakout_high,48,asia,high_vol,1,4.2371105e-05,-5.6607983e-05,4.2371105e-05,0.00062319473,0.46288799,0.46288799,0.53711201,0.00066182926,0.00056863516,0.00091926352,741,3.3769989e-05,False
ALL,breakout_high,48,asia,high_vol,2,1.900908e-06,-9.8414588e-05,1.900908e-06,0.00083748064,0.44804318,0.44804318,0.54925776,0.00088194992,0.00080142641,0.0012376988,741,4.5468003e-05,False
ALL,breakout_high,48,asia,high_vol,4,-3.8666386e-05,-0.00015154816,-3.8666386e-05,0.0011801309,0.44939271,0.44939271,0.54925776,0.0011866419,0.0011713696,0.0017912674,741,6.5803852e-05,False
ALL,breakout_high,48,asia,high_vol,8,-0.00024877149,-0.00013931956,-0.00024877149,0.0017962985,0.46018893,0.46018893,0.53711201,0.0015921063,0.0018222807,0.0031430613,741,0.00011546324,False
ALL,breakout_high,48,asia,low_vol,1,-2.0980803e-05,-2.4362171e-05,-2.0980803e-05,0.00023785935,0.457039,0.457039,0.53734303,0.0002445249,0.00026226666,0.00033699066,3026,6.1260904e-06,False
ALL,breakout_high,48,asia,low_vol,2,-1.9571405e-05,-2.5798522e-05,-1.9571405e-05,0.0003366629,0.45902181,0.45902181,0.53602115,0.00034718734,0.00037354175,0.00046312831,3026,8.4191232e-06,False
ALL,breakout_high,48,asia,low_vol,4,-5.0790768e-05,-6.0624332e-05,-5.0790768e-05,0.00048928963,0.44580304,0.44580304,0.55089227,0.00048968023,0.00054102737,0.00069250858,3026,1.2588984e-05,False
ALL,breakout_high,48,asia,low_vol,8,-7.0116896e-05,-7.0799468e-05,-7.0116896e-05,0.00073675895,0.45902181,0.45902181,0.53932584,0.00071970399,0.00082134475,0.0010438851,3026,1.8976593e-05,False
ALL,breakout_high,48,asia,medium_vol,1,-1.6714254e-05,-2.6609781e-05,-1.6714254e-05,0.00034629316,0.46578366,0.46578366,0.52832965,0.00033472075,0.000345564,0.00047491912,1359,1.288279e-05,False
ALL,breakout_high,48,asia,medium_vol,2,-2.6079371e-05,-3.9590894e-05,-2.6079371e-05,0.00047746438,0.46799117,0.46799117,0.52980132,0.00047541541,0.00049163207,0.00065158162,1359,1.7674987e-05,False
ALL,breakout_high,48,asia,medium_vol,4,-5.5702936e-05,-7.5606363e-05,-5.5702936e-05,0.00065718333,0.44738779,0.44738779,0.55114054,0.00066953437,0.00070503063,0.00091993484,1359,2.4954412e-05,False
ALL,breakout_high,48,asia,medium_vol,8,-6.5884139e-05,-8.8813102e-05,-6.5884139e-05,0.00095949919,0.45916115,0.45916115,0.53789551,0.00095521657,0.0010128438,0.0013468753,1359,3.6535718e-05,False
ALL,breakout_high,48,asia,unknown,1,-7.2210034e-05,-7.5395808e-05,-7.2210034e-05,0.00024144987,0.43333333,0.43333333,0.56666667,0.0002159956,0.00028787151,0.00032420783,30,5.919198e-05,False
ALL,breakout_high,48,asia,unknown,2,-9.6402855e-05,-0.00011311775,-9.6402855e-05,0.00032968227,0.36666667,0.36666667,0.63333333,0.00029282004,0.00039344951,0.00044107371,30,8.0528673e-05,False
ALL,breakout_high,48,asia,unknown,4,-0.00018004422,-0.00013086138,-0.00018004422,0.00055287909,0.43333333,0.43333333,0.56666667,0.00041776736,0.00061915006,0.00067209158,30,0.00012270657,False
ALL,breakout_high,48,asia,unknown,8,-0.00017925274,-0.00032823551,-0.00017925274,0.00080642053,0.33333333,0.33333333,0.66666667,0.00062609308,0.00085106753,0.00092293985,30,0.00016850499,False
ALL,breakout_high,48,london,high_vol,1,-1.6126143e-05,-4.4898417e-05,-1.6126143e-05,0.0005184052,0.46280383,0.46280383,0.5349865,0.00051414618,0.00051722009,0.00077726236,4073,1.2178966e-05,False
ALL,breakout_high,48,london,high_vol,2,-3.3799738e-05,-5.8954242e-05,-3.3799738e-05,0.00070128304,0.45936656,0.45936656,0.53793273,0.00070137899,0.00071885057,0.0010268167,4073,1.6089247e-05,False
ALL,breakout_high,48,london,high_vol,4,-5.7427097e-05,-6.2263992e-05,-5.7427097e-05,0.0010129028,0.47851706,0.47851706,0.51853671,0.00099020182,0.0010473039,0.0014711369,4073,2.3051324e-05,False
ALL,breakout_high,48,london,high_vol,8,-8.3222668e-05,-9.4345556e-05,-8.3222668e-05,0.0014815609,0.47507979,0.47507979,0.52418365,0.0014223085,0.0015226986,0.0021133557,4073,3.3114285e-05,False
ALL,breakout_high,48,london,low_vol,1,1.4889789e-05,4.3478639e-06,1.4889789e-05,0.00025819322,0.50513113,0.50513113,0.49144812,0.00031112537,0.00028379815,0.00034544072,877,1.1664704e-05,False
ALL,breakout_high,48,london,low_vol,2,2.6239646e-05,1.7967515e-05,2.6239646e-05,0.00036945278,0.50969213,0.50969213,0.48460661,0.00042929642,0.00039906475,0.00048950584,877,1.6529438e-05,False
ALL,breakout_high,48,london,low_vol,4,6.8429342e-05,1.1841607e-05,6.8429342e-05,0.0005200603,0.51197263,0.51197263,0.48346636,0.00061605147,0.00054864906,0.0007140041,877,2.4110205e-05,False
ALL,breakout_high,48,london,low_vol,8,0.0001096636,8.0109269e-06,0.0001096636,0.00078025102,0.50627138,0.50627138,0.48802737,0.00089560086,0.00080771694,0.0010880375,877,3.6740415e-05,False
ALL,breakout_high,48,london,medium_vol,1,-2.2238387e-05,-2.7683431e-05,-2.2238387e-05,0.00034275676,0.46645512,0.46645512,0.52810517,0.00036564875,0.00037147411,0.00044851919,2206,9.5494482e-06,False
ALL,breakout_high,48,london,medium_vol,2,-3.4525224e-05,-3.8030525e-05,-3.4525224e-05,0.00048248604,0.46917498,0.46917498,0.52855848,0.00050617211,0.0005306697,0.0006448584,2206,1.3729718e-05,False
ALL,breakout_high,48,london,medium_vol,4,-1.3229215e-05,-3.0057969e-05,-1.3229215e-05,0.00069948154,0.48141432,0.48141432,0.51677244,0.00072632664,0.00075129698,0.00096209593,2206,2.048404e-05,False
ALL,breakout_high,48,london,medium_vol,8,1.9668513e-05,-4.5684545e-06,1.9668513e-05,0.0010106111,0.49546691,0.49546691,0.50271985,0.0010556228,0.0010684391,0.0013613748,2206,2.898511e-05,False
ALL,breakout_high,48,london,unknown,1,6.383311e-05,-4.4190301e-05,6.383311e-05,0.00041201648,0.48837209,0.48837209,0.51162791,0.0005220475,0.00035096168,0.00053137017,43,8.1033191e-05,False
ALL,breakout_high,48,london,unknown,2,0.00022334327,0.00019878169,0.00022334327,0.00069291787,0.53488372,0.53488372,0.46511628,0.00078211428,0.00048061906,0.00086893373,43,0.00013251115,False
ALL,breakout_high,48,london,unknown,4,0.00028035121,0.00015447015,0.00028035121,0.0010124857,0.60465116,0.60465116,0.39534884,0.001158855,0.00068290543,0.0013796192,43,0.00021038996,False
ALL,breakout_high,48,london,unknown,8,0.00025775988,0.00027512381,0.00025775988,0.0014304752,0.60465116,0.60465116,0.39534884,0.0014819137,0.001019216,0.0018112743,43,0.00027621674,False
ALL,breakout_high,48,new_york,high_vol,1,-1.4936061e-05,-2.5996646e-05,-1.4936061e-05,0.00056214663,0.46858908,0.46858908,0.52523172,0.0005692212,0.00056943156,0.00084315234,2913,1.562197e-05,False
ALL,breakout_high,48,new_york,high_vol,2,-4.2943192e-05,-2.03045e-05,-4.2943192e-05,0.00081338222,0.48472365,0.48472365,0.51253004,0.00078626779,0.00082593183,0.0012315798,2913,2.2818774e-05,False
ALL,breakout_high,48,new_york,high_vol,4,-7.0876741e-05,-4.2025459e-05,-7.0876741e-05,0.0011102625,0.48129077,0.48129077,0.51699279,0.0010774431,0.0011516505,0.0016381155,2913,3.0351089e-05,False
