pair,event_type,lookback_window,session,session_subcontext,transition_context,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,48,asia,early_session,inside_asia,4,-5.9135746e-05,-8.1992229e-05,-5.9135746e-05,0.00063817638,0.44560541,0.44560541,0.55193608,0.00065291242,0.00066941548,0.00093337075,1627,2.3139843e-05,False
ALL,breakout_high,48,asia,early_session,inside_asia,8,-5.21941e-05,-6.4313047e-05,-5.21941e-05,0.00085153392,0.47572219,0.47572219,0.52243393,0.00085381291,0.00089388599,0.0014970991,1627,3.7115625e-05,False
ALL,breakout_high,48,asia,late_session,inside_asia,1,-1.3140009e-05,-2.9874924e-05,-1.3140009e-05,0.00034583439,0.46554024,0.46554024,0.53045798,0.00034140642,0.00035046831,0.00051830915,2249,1.0929345e-05,False
ALL,breakout_high,48,asia,late_session,inside_asia,2,-5.1321467e-06,-1.6786128e-05,-5.1321467e-06,0.00049235249,0.47799022,0.47799022,0.51711872,0.00049816488,0.00051170956,0.00071690283,2249,1.5116998e-05,False
ALL,breakout_high,48,asia,late_session,inside_asia,4,-5.6739374e-05,-6.1624569e-05,-5.6739374e-05,0.00071845335,0.45931525,0.45931525,0.53979546,0.00071518126,0.00077672294,0.0011182577,2249,2.3580182e-05,False
ALL,breakout_high,48,asia,late_session,inside_asia,8,-0.0001097193,-6.4552124e-05,-0.0001097193,0.0011794186,0.4704313,0.4704313,0.52734549,0.0010954604,0.0012572191,0.0018952687,2249,3.9964655e-05,False
ALL,breakout_high,48,asia,mid_session,inside_asia,1,-2.1903112e-05,-3.1431991e-05,-2.1903112e-05,0.00026106555,0.4375,0.4375,0.55703125,0.00026189787,0.00028232488,0.00044669019,1280,1.248537e-05,False
ALL,breakout_high,48,asia,mid_session,inside_asia,2,-4.431793e-05,-4.6374859e-05,-4.431793e-05,0.00034638571,0.43203125,0.43203125,0.5625,0.00034230664,0.00038029972,0.00056875901,1280,1.5897298e-05,False
ALL,breakout_high,48,asia,mid_session,inside_asia,4,-3.0957472e-05,-7.8431413e-05,-3.0957472e-05,0.00047707137,0.42578125,0.42578125,0.56875,0.00047872899,0.00050457498,0.0007707089,1280,2.1541969e-05,False
ALL,breakout_high,48,asia,mid_session,inside_asia,8,-0.00012480393,-0.00012620884,-0.00012480393,0.00066459657,0.415625,0.415625,0.58203125,0.00064191641,0.00074675591,0.0010431502,1280,2.9156935e-05,False
ALL,breakout_high,48,london,early_session,asia_to_london_boundary,1,-2.255372e-05,-3.6958159e-05,-2.255372e-05,0.00042672897,0.4585209,0.4585209,0.53762058,0.00043415008,0.00044318839,0.00063869987,1555,1.619689e-05,False
ALL,breakout_high,48,london,early_session,asia_to_london_boundary,2,-3.9215013e-05,-5.8937137e-05,-3.9215013e-05,0.00059565761,0.4681672,0.4681672,0.53118971,0.00060352003,0.00062773708,0.00087410394,1555,2.2166539e-05,False
ALL,breakout_high,48,london,early_session,asia_to_london_boundary,4,-1.5360015e-05,0,-1.5360015e-05,0.00085728135,0.49839228,0.49839228,0.49710611,0.00086384854,0.00090953627,0.0012441713,1555,3.1551135e-05,False
ALL,breakout_high,48,london,early_session,asia_to_london_boundary,8,-5.5536403e-05,4.4693736e-06,-5.5536403e-05,0.0012108192,0.50096463,0.50096463,0.4977492,0.0011800148,0.0012835381,0.0017540954,1555,4.4482379e-05,False
ALL,breakout_high,48,london,early_session,inside_london,1,-7.3173494e-06,-3.2357415e-05,-7.3173494e-06,0.00041606857,0.46477901,0.46477901,0.53245856,0.00042269073,0.00042562357,0.00058632901,1448,1.5408384e-05,False
ALL,breakout_high,48,london,early_session,inside_london,2,-3.8626057e-05,-5.1266557e-05,-3.8626057e-05,0.00056983092,0.45096685,0.45096685,0.54350829,0.00057242213,0.00060322983,0.00081510232,1448,2.1420413e-05,False
ALL,breakout_high,48,london,early_session,inside_london,4,-3.8765532e-05,-6.839087e-05,-3.8765532e-05,0.00081169615,0.47030387,0.47030387,0.52900552,0.0008010852,0.00085463266,0.0011727096,1448,3.0818125e-05,False
ALL,breakout_high,48,london,early_session,inside_london,8,-8.4535643e-06,-3.4538308e-05,-8.4535643e-06,0.0010623971,0.48342541,0.48342541,0.51519337,0.001099487,0.0011391459,0.0014945955,1448,3.9277098e-05,False
ALL,breakout_high,48,london,late_session,inside_london,1,-4.8220837e-07,-2.699028e-05,-4.8220837e-07,0.00047567261,0.47310804,0.47310804,0.52308425,0.00050408918,0.0004808401,0.00073678501,2101,1.607414e-05,False
ALL,breakout_high,48,london,late_session,inside_london,2,-6.2495961e-06,-2.6147892e-05,-6.2495961e-06,0.00065576677,0.48357925,0.48357925,0.51308901,0.00068339755,0.00067107688,0.00097976273,2101,2.1375087e-05,False
ALL,breakout_high,48,london,late_session,inside_london,4,-3.5307099e-05,-2.6738445e-05,-3.5307099e-05,0.00098321202,0.48881485,0.48881485,0.50832937,0.0009823319,0.0010040647,0.0014690974,2101,3.2050703e-05,False
ALL,breakout_high,48,london,late_session,inside_london,8,-5.2673059e-05,-6.9110291e-05,-5.2673059e-05,0.0015020803,0.48119943,0.48119943,0.51784864,0.0014559766,0.0015260538,0.0021384885,2101,4.6654539e-05,False
ALL,breakout_high,48,london,mid_session,inside_london,1,-2.4943587e-05,-2.6519103e-05,-2.4943587e-05,0.00040397087,0.47637232,0.47637232,0.52076372,0.00040562891,0.00041736788,0.00059806505,2095,1.3066414e-05,False
ALL,breakout_high,48,london,mid_session,inside_london,2,-2.4426142e-05,-3.9778513e-05,-2.4426142e-05,0.00054671448,0.4673031,0.4673031,0.53031026,0.0005633876,0.00057739457,0.00078532238,2095,1.7157577e-05,False
ALL,breakout_high,48,london,mid_session,inside_london,4,-1.7574727e-05,-2.9318635e-05,-1.7574727e-05,0.000760908,0.47875895,0.47875895,0.51837709,0.00079157104,0.00079817797,0.0010856356,2095,2.3718764e-05,False
ALL,breakout_high,48,london,mid_session,inside_london,8,9.9987715e-06,-3.9082957e-05,9.9987715e-06,0.0011611219,0.48114558,0.48114558,0.51599045,0.0011861306,0.0011739849,0.0016731903,2095,3.655555e-05,False
ALL,breakout_high,48,new_york,early_session,inside_new_york,1,1.9478215e-06,-2.043619e-05,1.9478215e-06,0.00050306265,0.47435335,0.47435335,0.5203858,0.00053003568,0.00050359622,0.00073600081,2281,1.5410462e-05,False
ALL,breakout_high,48,new_york,early_session,inside_new_york,2,-2.7290607e-06,-4.4917173e-06,-2.7290607e-06,0.00072920602,0.49715037,0.49715037,0.50109601,0.00074362349,0.00073524277,0.0010883622,2281,2.2788242e-05,False
ALL,breakout_high,48,new_york,early_session,inside_new_york,4,-2.0230894e-06,-1.6685521e-05,-2.0230894e-06,0.0010118006,0.49188952,0.49188952,0.50723367,0.0010327824,0.001048229,0.001445184,2281,3.0259412e-05,False
