pair,event_type,lookback_window,magnitude_bucket,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_low,48,medium,1,4.4378391e-05,5.0730508e-05,-4.4378391e-05,0.0004463122,0.546476,0.44909772,0.546476,0.00044960216,0.00045773069,0.00068844289,5874,8.982577e-06,False
ALL,breakout_low,48,medium,2,5.2449123e-05,5.7049656e-05,-5.2449123e-05,0.00063062586,0.53728294,0.45931222,0.53728294,0.00062658785,0.00064442245,0.000964077,5874,1.257896e-05,False
ALL,breakout_low,48,medium,4,4.6925701e-05,6.6669833e-05,-4.6925701e-05,0.0008719711,0.53064351,0.46799455,0.53064351,0.00088209787,0.00090494604,0.0012733367,5874,1.661408e-05,False
ALL,breakout_low,48,medium,8,6.6894712e-05,0.00011746355,-6.6894712e-05,0.0012402004,0.53660197,0.46237657,0.53660197,0.0012436866,0.0012711982,0.0018334591,5874,2.3922373e-05,False
ALL,breakout_low,48,small,1,2.850391e-05,4.8609761e-05,-2.850391e-05,0.0004089179,0.55114894,0.4427234,0.55114894,0.00040834379,0.00041562181,0.00059720293,5875,7.7914448e-06,False
ALL,breakout_low,48,small,2,4.7166542e-05,6.113648e-05,-4.7166542e-05,0.0005706759,0.54485106,0.45089362,0.54485106,0.00056859748,0.00059135901,0.00084491696,5875,1.1023261e-05,False
ALL,breakout_low,48,small,4,5.249863e-05,8.2285387e-05,-5.249863e-05,0.00079224303,0.54689362,0.45004255,0.54689362,0.00080139468,0.00083700404,0.0011772936,5875,1.5359633e-05,False
ALL,breakout_low,48,small,8,7.5478009e-05,0.00010176516,-7.5478009e-05,0.0011058449,0.53770213,0.46059574,0.53770213,0.0011211148,0.00117384,0.0016357797,5875,2.1341301e-05,False
ALL,breakout_low,96,large,1,1.5316487e-05,5.5597769e-05,-1.5316487e-05,0.00059040816,0.54127705,0.4552498,0.54127705,0.00061946581,0.000581956,0.0011142437,3743,1.821253e-05,False
ALL,breakout_low,96,large,2,2.2972111e-05,5.5525894e-05,-2.2972111e-05,0.0007888652,0.5308576,0.46593641,0.5308576,0.00084992108,0.00078919405,0.0013026561,3743,2.1292167e-05,False
ALL,breakout_low,96,large,4,1.4882497e-05,7.6699572e-05,-1.4882497e-05,0.0010589409,0.52818595,0.4699439,0.52818595,0.0011409176,0.0010670472,0.0016253657,3743,2.6566918e-05,False
ALL,breakout_low,96,large,8,1.3187519e-05,4.4228929e-05,-1.3187519e-05,0.0014590166,0.51349185,0.48543949,0.51349185,0.0015301925,0.0014477285,0.0021834389,3743,3.5688733e-05,False
ALL,breakout_low,96,medium,1,4.6539857e-05,4.9648346e-05,-4.6539857e-05,0.0004798,0.54278075,0.4513369,0.54278075,0.00047273535,0.00048766836,0.00075377119,3740,1.2325477e-05,False
ALL,breakout_low,96,medium,2,6.5070009e-05,6.3707097e-05,-6.5070009e-05,0.0006594822,0.53877005,0.45882353,0.53877005,0.00064862078,0.00068029183,0.0010269978,3740,1.679321e-05,False
ALL,breakout_low,96,medium,4,6.9327146e-05,7.4960252e-05,-6.9327146e-05,0.00091090991,0.53395722,0.46497326,0.53395722,0.0009053442,0.00095325671,0.0013396736,3740,2.1906006e-05,False
ALL,breakout_low,96,medium,8,0.00010269682,0.00012472788,-0.00010269682,0.0012684947,0.53983957,0.45909091,0.53983957,0.0012551476,0.0013231953,0.0019143282,3740,3.1302614e-05,False
ALL,breakout_low,96,small,1,2.1310229e-05,4.2059441e-05,-2.1310229e-05,0.00042388456,0.54543025,0.4484233,0.54543025,0.0004300276,0.00042891478,0.00067398941,3742,1.101796e-05,False
ALL,breakout_low,96,small,2,3.9652279e-05,5.5466992e-05,-3.9652279e-05,0.00058833297,0.54008552,0.45590593,0.54008552,0.00059586026,0.00060502027,0.00089670845,3742,1.4658832e-05,False
ALL,breakout_low,96,small,4,3.5456823e-05,8.0931641e-05,-3.5456823e-05,0.00080736944,0.54355959,0.45403528,0.54355959,0.00083890226,0.00084346712,0.0011974296,3742,1.9574835e-05,False
ALL,breakout_low,96,small,8,5.603835e-05,9.5405812e-05,-5.603835e-05,0.001098607,0.5363442,0.46125067,0.5363442,0.0011511252,0.0011672113,0.001635292,3742,2.6732736e-05,False
ALL,sweep_high,24,large,1,5.0472333e-06,-3.7691874e-06,5.0472333e-06,0.00040066865,0.49366946,0.49366946,0.50056523,0.00040748227,0.00040199991,0.00065427761,8846,6.9564648e-06,False
ALL,sweep_high,24,large,2,-8.6060545e-06,-7.8100677e-06,-8.6060545e-06,0.00057204947,0.49106941,0.49106941,0.504974,0.00057536207,0.00057863465,0.00089019275,8846,9.4647814e-06,False
ALL,sweep_high,24,large,4,-3.1708145e-06,-1.6699106e-05,-3.1708145e-06,0.00079291118,0.48801718,0.48801718,0.50949582,0.0008095255,0.00081967416,0.0012031667,8846,1.2792409e-05,False
