pair,event_type,lookback_window,session,range_regime,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
ALL,breakout_high,96,asia,compressed,8,-0.00033196969,-0.00026040913,-0.00033196969,0.00059704526,0.31034483,0.31034483,0.68505747,0.00045808897,0.000887651,0.00076988239,435,3.6913035e-05,False
ALL,breakout_high,96,asia,expanded,1,6.4295601e-05,1.5889965e-05,6.4295601e-05,0.00042604197,0.50879765,0.50879765,0.48900293,0.00047290955,0.00037329594,0.00063966763,1364,1.7319972e-05,False
ALL,breakout_high,96,asia,expanded,2,8.915586e-05,1.4928802e-05,8.915586e-05,0.00056246627,0.51246334,0.51246334,0.48387097,0.00065356383,0.00051152174,0.00086810869,1364,2.3505361e-05,False
ALL,breakout_high,96,asia,expanded,4,6.5557269e-05,2.3031067e-05,6.5557269e-05,0.00077951735,0.51173021,0.51173021,0.48533724,0.0008856051,0.00073961664,0.0012525798,1364,3.3915501e-05,False
ALL,breakout_high,96,asia,expanded,8,-1.5873393e-05,7.0612372e-05,-1.5873393e-05,0.0012368393,0.52199413,0.52199413,0.47580645,0.0012198494,0.0011560214,0.0022555969,1364,6.1073709e-05,False
ALL,breakout_high,96,asia,normal,1,-3.7891576e-05,-4.4712721e-05,-3.7891576e-05,0.00028916309,0.43094496,0.43094496,0.56178609,0.00028768701,0.00032043757,0.00040458997,963,1.303773e-05,False
ALL,breakout_high,96,asia,normal,2,-7.6529931e-05,-6.7765981e-05,-7.6529931e-05,0.00039955015,0.41952233,0.41952233,0.57943925,0.00038524955,0.00046081686,0.0005495426,963,1.7708763e-05,False
ALL,breakout_high,96,asia,normal,4,-0.00013070975,-0.00014394762,-0.00013070975,0.00057959145,0.39771547,0.39771547,0.59709242,0.00052299509,0.00066882366,0.00080299542,963,2.5876166e-05,False
ALL,breakout_high,96,asia,normal,8,-0.00020275958,-0.00017648907,-0.00020275958,0.00080545107,0.39979232,0.39979232,0.59916926,0.00071580345,0.00096054538,0.001097088,963,3.5353165e-05,False
ALL,breakout_high,96,asia,unknown,1,-3.0325565e-05,4.3867851e-05,-3.0325565e-05,0.00025987593,0.55555556,0.55555556,0.44444444,0.0001788182,0.00025554827,0.00037447876,18,8.826549e-05,True
ALL,breakout_high,96,asia,unknown,2,-7.318245e-05,-5.9834022e-05,-7.318245e-05,0.00041273539,0.44444444,0.44444444,0.55555556,0.00029383651,0.00035376663,0.00055014463,18,0.00012967033,True
ALL,breakout_high,96,asia,unknown,4,-0.00027379931,-7.2954022e-05,-0.00027379931,0.00063449863,0.44444444,0.44444444,0.55555556,0.0004054342,0.00060700849,0.00075242834,18,0.00017734906,True
ALL,breakout_high,96,asia,unknown,8,-9.2087177e-05,-0.00040585017,-9.2087177e-05,0.00095562573,0.38888889,0.38888889,0.61111111,0.00068061947,0.00080247763,0.0010797247,18,0.00025449355,True
ALL,breakout_high,96,london,compressed,1,-8.9833034e-05,-7.1760464e-05,-8.9833034e-05,0.00033596792,0.41864139,0.41864139,0.57661927,0.00029475291,0.00039811678,0.00045691543,633,1.8160758e-05,False
ALL,breakout_high,96,london,compressed,2,-0.00016997351,-0.00016283131,-0.00016997351,0.00047486485,0.36808847,0.36808847,0.6271722,0.000402241,0.00058769753,0.00064561063,633,2.5660719e-05,False
ALL,breakout_high,96,london,compressed,4,-0.00025590654,-0.0002284138,-0.00025590654,0.0006544885,0.33649289,0.33649289,0.66192733,0.00054296373,0.00083023674,0.00092783431,633,3.6878103e-05,False
ALL,breakout_high,96,london,compressed,8,-0.00038325406,-0.00034139591,-0.00038325406,0.00087902793,0.3206951,0.3206951,0.67456556,0.00071565673,0.0012320728,0.0011510445,633,4.5749913e-05,False
ALL,breakout_high,96,london,expanded,1,7.8836744e-05,4.1509598e-05,7.8836744e-05,0.00051820403,0.53077652,0.53077652,0.46780303,0.00057407403,0.00047653145,0.00077578331,2112,1.6880818e-05,False
ALL,breakout_high,96,london,expanded,2,0.00012156618,5.2448444e-05,0.00012156618,0.00071714681,0.53409091,0.53409091,0.46448864,0.00080161449,0.00065288168,0.0010437471,2112,2.2711631e-05,False
ALL,breakout_high,96,london,expanded,4,0.00019455574,0.00017448857,0.00019455574,0.0010666214,0.56912879,0.56912879,0.42945076,0.0011639883,0.00094340827,0.0015464004,2112,3.3649219e-05,False
ALL,breakout_high,96,london,expanded,8,0.00032257201,0.00037319811,0.00032257201,0.0015858471,0.59375,0.59375,0.40625,0.0017254129,0.0013600167,0.0022641117,2112,4.9266408e-05,False
ALL,breakout_high,96,london,normal,1,-8.8428872e-05,-6.9991414e-05,-8.8428872e-05,0.00039277016,0.43190661,0.43190661,0.56342412,0.00036348952,0.00045892674,0.00054077025,1285,1.5085553e-05,False
ALL,breakout_high,96,london,normal,2,-0.00015421774,-9.0202233e-05,-0.00015421774,0.00054007335,0.43424125,0.43424125,0.56031128,0.00048454011,0.00064429246,0.00072821757,1285,2.0314661e-05,False
ALL,breakout_high,96,london,normal,4,-0.00015918054,-0.00011177555,-0.00015918054,0.00071495688,0.44280156,0.44280156,0.5540856,0.00066730758,0.00089255275,0.0009268063,1285,2.5854576e-05,False
ALL,breakout_high,96,london,normal,8,-0.00024112354,-0.0001527472,-0.00024112354,0.0010318195,0.44046693,0.44046693,0.5540856,0.00096325584,0.0012759751,0.0013548064,1285,3.7794246e-05,False
