pair,event_type,lookback_window,horizon_bars,mean_forward_return,median_forward_return,mean_aligned_forward_return,mean_abs_forward_return,positive_fraction,continuation_fraction,reversal_fraction,mean_mfe,mean_mae,forward_return_std,sample_count,forward_return_se,low_sample
GBPUSD,sweep_high,48,4,4.3652125e-06,-1.1039112e-05,4.3652125e-06,0.00088286626,0.49277245,0.49277245,0.50462888,0.00091488828,0.00088831617,0.0013654591,6157,1.7401798e-05,False
GBPUSD,sweep_high,48,8,-1.4170845e-06,-2.3755696e-05,-1.4170845e-06,0.0012235418,0.49196037,0.49196037,0.5067403,0.001274014,0.0012479224,0.0018195114,6157,2.318837e-05,False
GBPUSD,sweep_high,96,1,1.09644e-05,-3.9620593e-06,1.09644e-05,0.00046739569,0.49305374,0.49305374,0.50301442,0.00047165553,0.0004574589,0.00075320849,3815,1.2194611e-05,False
GBPUSD,sweep_high,96,2,-1.1472338e-05,-2.385316e-05,-1.1472338e-05,0.00065266768,0.4768021,0.4768021,0.51952818,0.00066581301,0.00065649736,0.0010223793,3815,1.6552545e-05,False
GBPUSD,sweep_high,96,4,-1.1701896e-06,-8.0032013e-06,-1.1701896e-06,0.00089329931,0.49279161,0.49279161,0.50406291,0.00092715575,0.0009063564,0.0013903227,3815,2.2509629e-05,False
GBPUSD,sweep_high,96,8,-8.5533296e-06,-4.7639115e-05,-8.5533296e-06,0.001216383,0.48440367,0.48440367,0.51454784,0.0012732089,0.0012430624,0.0018239301,3815,2.9529829e-05,False
GBPUSD,sweep_low,24,1,-9.0563874e-07,1.1701935e-05,9.0563874e-07,0.00043928608,0.51093327,0.4848963,0.51093327,0.00044366252,0.00041920383,0.00065079275,8872,6.9092664e-06,False
GBPUSD,sweep_low,24,2,-8.4508634e-06,7.6760154e-06,8.4508634e-06,0.00062179995,0.50608656,0.49132101,0.50608656,0.00063480604,0.0006025094,0.00092331636,8872,9.8025658e-06,False
GBPUSD,sweep_low,24,4,-2.3246817e-05,0,2.3246817e-05,0.00085773486,0.49909829,0.499211,0.49909829,0.00089969481,0.00084799129,0.0012925132,8872,1.3722215e-05,False
GBPUSD,sweep_low,24,8,-3.0156259e-05,1.7162037e-05,3.0156259e-05,0.0012071473,0.50552299,0.49346258,0.50552299,0.0012628338,0.0012010848,0.0017888111,8872,1.8991257e-05,False
GBPUSD,sweep_low,48,1,-4.2291395e-06,8.009804e-06,4.2291395e-06,0.00047831443,0.50738996,0.48822478,0.50738996,0.0004873967,0.00045508275,0.00069964792,6157,8.9165114e-06,False
GBPUSD,sweep_low,48,2,-1.2735019e-05,1.1006872e-05,1.2735019e-05,0.00067510672,0.50901413,0.4883872,0.50901413,0.00069397118,0.00065288373,0.00097822613,6157,1.2466791e-05,False
GBPUSD,sweep_low,48,4,-4.2120947e-05,-3.9603647e-06,4.2120947e-05,0.00093589197,0.49683287,0.50186779,0.49683287,0.00098779453,0.00091762353,0.0013740754,6157,1.7511606e-05,False
