scope,pair,volatility_regime,session,horizon_sessions,mean_forward_return,median_forward_return,mean_abs_forward_return,positive_return_fraction,forward_return_std,sample_count,forward_return_se,low_sample
pair_regime_session,EURUSD,medium_vol,new_york,1,0.00026790998112411277,0.00024238243286698984,0.002774653588362784,0.5299877600979193,0.003592579401044282,817,0.00012568844324264064,False
pair_regime_session,EURUSD,medium_vol,new_york,2,0.0001524958818796368,6.017752369484879e-05,0.0018824328392964794,0.5128518971848225,0.00248581129584048,817,8.696752864483454e-05,False
pair_regime_session,EURUSD,medium_vol,new_york,4,5.330876955470495e-05,4.810948375951749e-05,0.0015295896888146763,0.5159313725490197,0.002322719763568941,816,8.13114556425959e-05,False
pair_regime_session,EURUSD,medium_vol,new_york,8,-0.00017642509207680928,-0.00010699883564352,0.0037240829047375263,0.49019607843137253,0.004762087163197564,816,0.00016670639532577477,False
pair_regime_session,GBPUSD,high_vol,asia,1,-0.00014998499693639168,0.0003201524237881227,0.0037289229801805066,0.5436893203883495,0.005089859125383995,103,0.0005015187217972553,False
pair_regime_session,GBPUSD,high_vol,asia,2,0.000992619051284488,0.0005096148708907698,0.009144587916154953,0.5242718446601942,0.013130195301334847,103,0.001293756585842046,False
pair_regime_session,GBPUSD,high_vol,asia,4,0.00046570176399537646,-0.0002507812033517626,0.006867601294926761,0.46601941747572817,0.009567639158135523,103,0.0009427274985422101,False
pair_regime_session,GBPUSD,high_vol,asia,8,0.00025037169156655456,9.569835877312014e-05,0.015394167157540453,0.5048543689320388,0.02222389801478616,103,0.0021897857388906115,False
pair_regime_session,GBPUSD,high_vol,london,1,-0.00010394659766108133,-0.00016781425379164456,0.005004324891960832,0.4876977152899824,0.007066902067220358,1138,0.0002094874169973315,False
pair_regime_session,GBPUSD,high_vol,london,2,1.1645438021652093e-05,3.82753105487418e-05,0.0033131100204180654,0.5035149384885764,0.004598536784068057,1138,0.00013631653356709726,False
pair_regime_session,GBPUSD,high_vol,london,4,-9.21681216815178e-05,-0.00024247111027946082,0.006544598458609285,0.484182776801406,0.009267657582969775,1138,0.0002747254214371346,False
pair_regime_session,GBPUSD,high_vol,london,8,-0.00015126218549256325,-0.000290973147896918,0.0073031700817318196,0.48284960422163586,0.01021134358991725,1137,0.0003028326222645152,False
pair_regime_session,GBPUSD,high_vol,new_york,1,0.00020334221897675268,0.00027397980055767927,0.004982873888393638,0.5179407176287052,0.0068454165107541855,641,0.00027037769620448645,False
pair_regime_session,GBPUSD,high_vol,new_york,2,-8.625998141682858e-05,6.927860595153169e-05,0.0036163504438503804,0.5101404056162246,0.005047489740064646,641,0.00019936385834090083,False
pair_regime_session,GBPUSD,high_vol,new_york,4,1.238654525790148e-05,-2.3563509549266613e-05,0.0022487624828092558,0.49453978159126366,0.0035738372973852556,641,0.00014115808637190348,False
pair_regime_session,GBPUSD,high_vol,new_york,8,-9.27528437396113e-05,0.0001881594684123069,0.0057244999402442775,0.503125,0.007796303529607577,640,0.00030817595604462405,False
pair_regime_session,GBPUSD,low_vol,asia,1,-0.0001544780851982451,-7.929387818856606e-05,0.0024746520149013505,0.4865269461077844,0.00335130120451863,1336,9.168752161181684e-05,False
pair_regime_session,GBPUSD,low_vol,asia,2,-0.000169138939163941,-0.00013129928852174722,0.0051722176210595204,0.49138576779026216,0.006909564176536798,1335,0.0001891080524802405,False
pair_regime_session,GBPUSD,low_vol,asia,4,-0.00022524997400981877,-7.691923096203276e-06,0.004561412156556677,0.49812734082397003,0.0060049984839716745,1335,0.00016435096909684697,False
pair_regime_session,GBPUSD,low_vol,asia,8,-1.3680341019335212e-05,-0.0002561808265359078,0.007115759156958927,0.48537134283570893,0.00923720409004641,1333,0.0002530028797566717,False
pair_regime_session,GBPUSD,low_vol,london,1,0.00042712370778071913,-0.0005679040745320674,0.004623854336870088,0.43434343434343436,0.00606556591125495,99,0.0006096123111758427,False
pair_regime_session,GBPUSD,low_vol,london,2,5.0244801324324274e-05,0.0001806531958320673,0.003004730145598751,0.5151515151515151,0.0038184635356075906,99,0.00038377002494740197,False
pair_regime_session,GBPUSD,low_vol,london,4,0.0007849295129318329,0.00039778015501843556,0.005785904728098666,0.5454545454545454,0.007568058971455706,99,0.0007606185454424722,False
pair_regime_session,GBPUSD,low_vol,london,8,0.0008062163415946317,0.0006063250906591455,0.006410208153361076,0.5454545454545454,0.008013783464784688,99,0.0008054155425407602,False
pair_regime_session,GBPUSD,low_vol,new_york,1,6.356553638781466e-05,-5.337888331395273e-05,0.0026819002825765543,0.49464668094218417,0.0036633568991837943,467,0.00016951994046672056,False
pair_regime_session,GBPUSD,low_vol,new_york,2,-6.329054522116577e-05,-7.474456046510185e-06,0.0016423416476324742,0.49036402569593146,0.0021061754943283027,467,9.746217860742664e-05,False
pair_regime_session,GBPUSD,low_vol,new_york,4,6.276216156447883e-05,1.925721086273366e-05,0.002209795847168234,0.5010706638115632,0.0034466261135196728,467,0.00015949083577007652,False
pair_regime_session,GBPUSD,low_vol,new_york,8,-6.632736519598198e-05,-0.00019240434755279633,0.004700530550120671,0.48822269807280516,0.006216530278724741,467,0.00028766671437166795,False
pair_regime_session,GBPUSD,medium_vol,asia,1,3.6519739611943597e-05,-0.00019093041560489928,0.0027580280791035285,0.46648793565683644,0.0036713096457477276,373,0.00019009320780619457,False
pair_regime_session,GBPUSD,medium_vol,asia,2,-5.5138613114246005e-05,0.0005270933686266521,0.005908205443500141,0.5281501340482574,0.008313403017399247,373,0.0004304516915900891,False
pair_regime_session,GBPUSD,medium_vol,asia,4,-0.0001751826592221036,0.00037633897445631386,0.005186901293262055,0.5281501340482574,0.007020884649962285,373,0.000363527627339857,False
pair_regime_session,GBPUSD,medium_vol,asia,8,-0.0005661802826059586,0.00036894779971183484,0.007941323216743564,0.5120643431635389,0.010981024589964385,373,0.0005685759008975916,False
pair_regime_session,GBPUSD,medium_vol,london,1,0.0002258513145339337,0.00030333408550323605,0.004593346677441745,0.5270506108202443,0.006261603125995231,573,0.0002615822232575947,False
pair_regime_session,GBPUSD,medium_vol,london,2,0.00027101566598994824,0.00012721078429436578,0.003019360778759921,0.5113438045375218,0.0041422222988613845,573,0.00017304381902855386,False
pair_regime_session,GBPUSD,medium_vol,london,4,0.00015953541350574729,7.416870463755802e-05,0.005749559073910476,0.506993006993007,0.007841637657204952,572,0.0003278753418104182,False
pair_regime_session,GBPUSD,medium_vol,london,8,9.202790307955294e-05,1.891219159481115e-05,0.006269814064458627,0.5034965034965035,0.008441346498188356,572,0.00035295042814056737,False
pair_regime_session,GBPUSD,medium_vol,new_york,1,-2.6166619196105017e-05,0.00015821727990476372,0.0034345861161358972,0.5178997613365155,0.004407992511355946,838,0.00015227157461118778,False
pair_regime_session,GBPUSD,medium_vol,new_york,2,-6.056052454302757e-05,4.237808065639661e-05,0.0022612756221980983,0.5035799522673031,0.002883916026906951,838,9.962322606770452e-05,False
pair_regime_session,GBPUSD,medium_vol,new_york,4,-5.437100541966574e-05,1.1112675117311525e-05,0.0016638991928867274,0.5041816009557945,0.002469365222706917,837,8.535374841981039e-05,False
pair_regime_session,GBPUSD,medium_vol,new_york,8,-0.00023606383386649672,-0.00013177237968558942,0.004700839171845993,0.4910394265232975,0.006173012499094179,837,0.00021337052575092687,False
pair_regime_session,USDJPY,high_vol,asia,1,-4.524069569188647e-05,0.0001224445371595897,0.0025553270348625695,0.5136842105263157,0.003838755627622891,475,0.0001761341878921709,False
pair_regime_session,USDJPY,high_vol,asia,2,0.0002137187749672069,0.0003920642628970087,0.0058946489926204465,0.5326315789473685,0.008290532672330857,475,0.0003803957274401306,False
