pair,session_date,fx_session_date,session,session_start,session_end,session_return,session_abs_return,session_range,session_direction,session_direction_sign,volatility_regime,range_regime,directional_efficiency_ratio,close_location_value,structural_breach_presence,breach_direction,breach_magnitude_bucket,breakout_event_count,sweep_event_count,breach_event_count
EURUSD,2023-04-17,2023-04-17,asia,2023-04-17 00:00:00+00:00,2023-04-17 06:45:00+00:00,0.00019572946,0.00019572946,0.0030042196,up,1,medium_vol,expanded,0.027405991,0.75909091,breakout,downside,large,5,2,7
EURUSD,2023-04-17,2023-04-17,london,2023-04-17 07:00:00+00:00,2023-04-17 12:45:00+00:00,-0.0030036453,0.0030036453,0.0043780406,down,-1,high_vol,normal,0.27942422,0.040540541,breakout,downside,large,6,2,8
EURUSD,2023-04-18,2023-04-18,new_york,2023-04-17 22:00:00+00:00,2023-04-18 21:45:00+00:00,0.0041548268,0.0041548268,0.0046901954,up,1,low_vol,compressed,0.40035273,0.95414634,breakout,downside,medium,1,2,3
EURUSD,2023-04-18,2023-04-18,asia,2023-04-18 00:00:00+00:00,2023-04-18 06:45:00+00:00,0.002238058,0.002238058,0.0027643906,up,1,low_vol,normal,0.39277108,0.88410596,breakout,upside,large,9,8,17
EURUSD,2023-04-18,2023-04-18,london,2023-04-18 07:00:00+00:00,2023-04-18 12:45:00+00:00,0.00064846697,0.00064846697,0.0032925682,up,1,medium_vol,compressed,0.074501574,0.25242718,breakout,upside,large,8,8,16
EURUSD,2023-04-19,2023-04-19,new_york,2023-04-18 22:00:00+00:00,2023-04-19 21:45:00+00:00,-0.0014308955,0.0014308955,0.0029119179,down,-1,medium_vol,compressed,0.10963687,0.28169014,breakout,upside,large,4,2,6
EURUSD,2023-04-19,2023-04-19,asia,2023-04-19 00:00:00+00:00,2023-04-19 06:45:00+00:00,-0.0017084205,0.0017084205,0.0034305083,down,-1,low_vol,expanded,0.26539278,0.26162019,breakout,downside,large,11,6,17
EURUSD,2023-04-19,2023-04-19,london,2023-04-19 07:00:00+00:00,2023-04-19 12:45:00+00:00,-0.00060695396,0.00060695396,0.0050244835,down,-1,high_vol,normal,0.045532352,0.58764759,breakout,downside,large,8,7,15
EURUSD,2023-04-20,2023-04-20,new_york,2023-04-19 22:00:00+00:00,2023-04-20 21:45:00+00:00,0.0011180068,0.0011180068,0.0038879255,up,1,medium_vol,compressed,0.079934747,0.51995305,breakout,downside,large,7,3,10
EURUSD,2023-04-20,2023-04-20,asia,2023-04-20 00:00:00+00:00,2023-04-20 06:45:00+00:00,0.0013970242,0.0013970242,0.0021594525,up,1,low_vol,normal,0.2246696,0.74841438,breakout,upside,large,4,5,9
