pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
GBPUSD,24,sweep_low,session,london,2,70.08413764643848,-1.9382629879803445e-05,0.497219496238142,3057,43619,False
GBPUSD,24,sweep_low,session,london,4,70.08413764643848,-4.4983875586537166e-05,0.483480536473667,3057,43619,False
GBPUSD,24,sweep_low,session,london,8,70.08413764643848,-6.769251531401264e-05,0.4893686620870134,3057,43619,False
GBPUSD,24,sweep_low,session,new_york,1,37.058453802639846,1.3549117980501508e-05,0.505427408412483,2948,79550,False
GBPUSD,24,sweep_low,session,new_york,2,37.058453802639846,-1.3194983151564493e-05,0.510854816824966,2948,79550,False
GBPUSD,24,sweep_low,session,new_york,4,37.058453802639846,-3.317487729542972e-05,0.49525101763907736,2948,79550,False
GBPUSD,24,sweep_low,session,new_york,8,37.058453802639846,-3.2808342628527555e-05,0.5057666214382632,2948,79550,False
GBPUSD,48,sweep_high,session,asia,1,28.03207025660126,-1.8589756485705798e-05,0.5188811188811189,1430,51013,False
GBPUSD,48,sweep_high,session,asia,2,28.03207025660126,-3.321003235325451e-05,0.5370629370629371,1430,51013,False
GBPUSD,48,sweep_high,session,asia,4,28.03207025660126,-4.1008100396094295e-05,0.5181818181818182,1430,51013,False
GBPUSD,48,sweep_high,session,asia,8,28.03207025660126,-8.643218771771126e-05,0.5405594405594406,1430,51013,False
GBPUSD,48,sweep_high,session,london,1,57.88761778124212,1.500280444945125e-05,0.49386138613861386,2525,43619,False
GBPUSD,48,sweep_high,session,london,2,57.88761778124212,-1.2121993853773518e-05,0.5041584158415842,2525,43619,False
GBPUSD,48,sweep_high,session,london,4,57.88761778124212,-1.8742952124345973e-05,0.5033663366336634,2525,43619,False
GBPUSD,48,sweep_high,session,london,8,57.88761778124212,-3.0010282773953588e-05,0.5001980198019802,2525,43619,False
GBPUSD,48,sweep_high,session,new_york,1,27.680703959773727,2.5784235744885404e-05,0.4963669391462307,2202,79550,False
GBPUSD,48,sweep_high,session,new_york,2,27.680703959773727,3.8074659664514794e-05,0.5104450499545867,2202,79550,False
GBPUSD,48,sweep_high,session,new_york,4,27.680703959773727,6.0328860719914676e-05,0.49727520435967304,2202,79550,False
GBPUSD,48,sweep_high,session,new_york,8,27.680703959773727,8.657992884311062e-05,0.49227974568574023,2202,79550,False
GBPUSD,48,sweep_low,session,asia,1,28.541744261266736,4.640765219864373e-06,0.5322802197802198,1456,51013,False
GBPUSD,48,sweep_low,session,asia,2,28.541744261266736,8.083735911269094e-06,0.5267857142857143,1456,51013,False
GBPUSD,48,sweep_low,session,asia,4,28.541744261266736,-2.3601953143239455e-05,0.5130494505494505,1456,51013,False
GBPUSD,48,sweep_low,session,asia,8,28.541744261266736,-4.033915491297977e-06,0.5274725274725275,1456,51013,False
GBPUSD,48,sweep_low,session,london,1,58.64416882551181,-2.071539756313931e-05,0.498436278342455,2558,43619,False
GBPUSD,48,sweep_low,session,london,2,58.64416882551181,-2.0068911335596622e-05,0.498436278342455,2558,43619,False
GBPUSD,48,sweep_low,session,london,4,58.64416882551181,-5.956149610093351e-05,0.4843627834245504,2558,43619,False
GBPUSD,48,sweep_low,session,london,8,58.64416882551181,-8.792240135974664e-05,0.4874902267396403,2558,43619,False
GBPUSD,48,sweep_low,session,new_york,1,26.939032055311124,9.42334163994099e-06,0.5011665888940737,2143,79550,False
GBPUSD,48,sweep_low,session,new_york,2,26.939032055311124,-1.8125596489750934e-05,0.5095660289314046,2143,79550,False
GBPUSD,48,sweep_low,session,new_york,4,26.939032055311124,-3.388516998306122e-05,0.5006999533364442,2143,79550,False
GBPUSD,48,sweep_low,session,new_york,8,26.939032055311124,1.2328289724980763e-06,0.5132991133924405,2143,79550,False
GBPUSD,96,sweep_high,session,asia,1,13.349538352968851,-1.747783766308744e-05,0.5198237885462555,681,51013,False
GBPUSD,96,sweep_high,session,asia,2,13.349538352968851,-3.1641739270301e-05,0.5447870778267254,681,51013,False
GBPUSD,96,sweep_high,session,asia,4,13.349538352968851,-3.91374633280722e-05,0.5242290748898678,681,51013,False
GBPUSD,96,sweep_high,session,asia,8,13.349538352968851,-7.039746418372421e-05,0.5682819383259912,681,51013,False
GBPUSD,96,sweep_high,session,london,1,30.193264403127078,4.6591606419294925e-06,0.5087319665907365,1317,43619,False
GBPUSD,96,sweep_high,session,london,2,30.193264403127078,-6.15867105101705e-05,0.5269552012148823,1317,43619,False
GBPUSD,96,sweep_high,session,london,4,30.193264403127078,-4.981505720238373e-05,0.5064540622627183,1317,43619,False
GBPUSD,96,sweep_high,session,london,8,30.193264403127078,-7.6455618849309e-05,0.5087319665907365,1317,43619,False
GBPUSD,96,sweep_high,session,new_york,1,22.84098051539912,2.6194539972161992e-05,0.4925701706108971,1817,79550,False
GBPUSD,96,sweep_high,session,new_york,2,22.84098051539912,3.2410982066652856e-05,0.5046780407264722,1817,79550,False
GBPUSD,96,sweep_high,session,new_york,4,22.84098051539912,4.8318530229244924e-05,0.49477160154100164,1817,79550,False
GBPUSD,96,sweep_high,session,new_york,8,22.84098051539912,6.384247145618132e-05,0.49862410566868465,1817,79550,False
GBPUSD,96,sweep_low,session,asia,1,12.585027345970634,1.461063885033524e-05,0.5560747663551402,642,51013,False
GBPUSD,96,sweep_low,session,asia,2,12.585027345970634,2.4896767649031737e-05,0.5451713395638629,642,51013,False
GBPUSD,96,sweep_low,session,asia,4,12.585027345970634,-1.7995760537335162e-05,0.5327102803738317,642,51013,False
GBPUSD,96,sweep_low,session,asia,8,12.585027345970634,-1.0821165834665812e-05,0.5389408099688473,642,51013,False
GBPUSD,96,sweep_low,session,london,1,31.20199912882001,-3.9167446223146466e-05,0.4878765613519471,1361,43619,False
GBPUSD,96,sweep_low,session,london,2,31.20199912882001,-4.2588535525994954e-05,0.49301983835415136,1361,43619,False
GBPUSD,96,sweep_low,session,london,4,31.20199912882001,-0.00010119651999787879,0.49301983835415136,1361,43619,False
GBPUSD,96,sweep_low,session,london,8,31.20199912882001,-0.00013791230814893743,0.4893460690668626,1361,43619,False
GBPUSD,96,sweep_low,session,new_york,1,22.187303582652422,4.804871488772975e-06,0.49745042492917846,1765,79550,False
GBPUSD,96,sweep_low,session,new_york,2,22.187303582652422,-3.670366822007109e-05,0.5042492917847026,1765,79550,False
GBPUSD,96,sweep_low,session,new_york,4,22.187303582652422,-5.9045249305577526e-05,0.49008498583569404,1765,79550,False
GBPUSD,96,sweep_low,session,new_york,8,22.187303582652422,-2.7660281687119027e-05,0.5082152974504249,1765,79550,False
USDJPY,24,sweep_high,session,asia,1,51.78767445507292,1.6075487107016617e-06,0.5090840272520818,2642,51016,False
USDJPY,24,sweep_high,session,asia,2,51.78767445507292,9.414544797375007e-06,0.49810749432248297,2642,51016,False
USDJPY,24,sweep_high,session,asia,4,51.78767445507292,1.2068176526849013e-05,0.5018925056775171,2642,51016,False
USDJPY,24,sweep_high,session,asia,8,51.78767445507292,1.493373465236588e-05,0.5026495079485238,2642,51016,False
USDJPY,24,sweep_high,session,london,1,56.98567335243553,2.028214222042192e-05,0.49517296862429605,2486,43625,False
USDJPY,24,sweep_high,session,london,2,56.98567335243553,4.352393015489419e-05,0.48672566371681414,2486,43625,False
