pair,lookback_window,event_type,context_type,context_value,horizon_bars,event_frequency_per_1000_bars,mean_forward_return,reversal_probability,sample_count,bars_observed,low_sample
GBPUSD,96,sweep_high,volatility_regime,low_vol,4,15.936955795176695,-1.1821451616351963e-05,0.5055187637969095,906,56849,False
GBPUSD,96,sweep_high,volatility_regime,low_vol,8,15.936955795176695,3.79867837446943e-05,0.5309050772626932,906,56849,False
GBPUSD,96,sweep_high,volatility_regime,medium_vol,1,23.560429226351406,1.3282560771178117e-05,0.5024946543121882,1403,59549,False
GBPUSD,96,sweep_high,volatility_regime,medium_vol,2,23.560429226351406,1.833593333072705e-05,0.5060584461867427,1403,59549,False
GBPUSD,96,sweep_high,volatility_regime,medium_vol,4,23.560429226351406,4.832987998266752e-05,0.5010691375623664,1403,59549,False
GBPUSD,96,sweep_high,volatility_regime,medium_vol,8,23.560429226351406,4.550426502900797e-05,0.4946543121881682,1403,59549,False
GBPUSD,96,sweep_high,volatility_regime,unknown,1,28.125,0.00016243922450185938,0.37037037037037035,27,960,True
GBPUSD,96,sweep_high,volatility_regime,unknown,2,28.125,9.277800840046846e-05,0.48148148148148145,27,960,True
GBPUSD,96,sweep_high,volatility_regime,unknown,4,28.125,0.0002819896906912939,0.4444444444444444,27,960,True
GBPUSD,96,sweep_high,volatility_regime,unknown,8,28.125,0.00025621622924431784,0.5555555555555556,27,960,True
GBPUSD,96,sweep_low,volatility_regime,high_vol,1,30.550471631704912,-1.0543160014876204e-05,0.5034562211981567,1736,56824,False
GBPUSD,96,sweep_low,volatility_regime,high_vol,2,30.550471631704912,-4.12190880966749e-05,0.4959677419354839,1736,56824,False
GBPUSD,96,sweep_low,volatility_regime,high_vol,4,30.550471631704912,-0.00011666214431018765,0.4873271889400922,1736,56824,False
GBPUSD,96,sweep_low,volatility_regime,high_vol,8,30.550471631704912,-0.00012311544214800265,0.48847926267281105,1736,56824,False
GBPUSD,96,sweep_low,volatility_regime,low_vol,1,13.351158331720875,9.032935835356753e-06,0.530961791831357,759,56849,False
GBPUSD,96,sweep_low,volatility_regime,low_vol,2,13.351158331720875,1.4949500346213977e-05,0.538866930171278,759,56849,False
GBPUSD,96,sweep_low,volatility_regime,low_vol,4,13.351158331720875,-3.2211958128212093e-06,0.5138339920948617,759,56849,False
GBPUSD,96,sweep_low,volatility_regime,low_vol,8,13.351158331720875,9.369154053995584e-07,0.525691699604743,759,56849,False
GBPUSD,96,sweep_low,volatility_regime,medium_vol,1,21.22621706493812,-1.8482747779479875e-05,0.48813291139240506,1264,59549,False
GBPUSD,96,sweep_low,volatility_regime,medium_vol,2,21.22621706493812,-4.0920340475656154e-05,0.5015822784810127,1264,59549,False
GBPUSD,96,sweep_low,volatility_regime,medium_vol,4,21.22621706493812,-4.601475054452868e-05,0.5015822784810127,1264,59549,False
GBPUSD,96,sweep_low,volatility_regime,medium_vol,8,21.22621706493812,-3.58780067976554e-05,0.5166139240506329,1264,59549,False
GBPUSD,96,sweep_low,volatility_regime,unknown,1,9.375,-7.079392333899258e-05,0.5555555555555556,9,960,True
GBPUSD,96,sweep_low,volatility_regime,unknown,2,9.375,0.0005746366784060394,0.7777777777777778,9,960,True
GBPUSD,96,sweep_low,volatility_regime,unknown,4,9.375,0.0010707119806971936,0.8888888888888888,9,960,True
GBPUSD,96,sweep_low,volatility_regime,unknown,8,9.375,0.0016556502593496015,1.0,9,960,True
USDJPY,24,sweep_high,volatility_regime,high_vol,1,45.285275025623505,1.4030944432152291e-05,0.5107506601282535,2651,58540,False
USDJPY,24,sweep_high,volatility_regime,high_vol,2,45.285275025623505,2.75532113271646e-05,0.5066012825348924,2651,58540,False
USDJPY,24,sweep_high,volatility_regime,high_vol,4,45.285275025623505,6.548925878679802e-05,0.5032063372312335,2651,58540,False
USDJPY,24,sweep_high,volatility_regime,high_vol,8,45.285275025623505,4.6125730633277745e-05,0.5039607695209355,2651,58540,False
USDJPY,24,sweep_high,volatility_regime,low_vol,1,56.582797913907825,7.521759486225187e-06,0.49378792256573245,3461,61167,False
USDJPY,24,sweep_high,volatility_regime,low_vol,2,56.582797913907825,1.8256759161757207e-05,0.4978329962438602,3461,61167,False
USDJPY,24,sweep_high,volatility_regime,low_vol,4,56.582797913907825,2.485901694698886e-05,0.49956659924877206,3461,61167,False
USDJPY,24,sweep_high,volatility_regime,low_vol,8,56.582797913907825,4.6699288483312516e-05,0.5033227390927477,3461,61167,False
USDJPY,24,sweep_high,volatility_regime,medium_vol,1,49.59239130434782,3.95310141757378e-06,0.4992389649923896,2628,52992,False
USDJPY,24,sweep_high,volatility_regime,medium_vol,2,49.59239130434782,1.7227901419038747e-05,0.4882039573820396,2628,52992,False
USDJPY,24,sweep_high,volatility_regime,medium_vol,4,49.59239130434782,2.4081134173037662e-05,0.4980974124809741,2628,52992,False
USDJPY,24,sweep_high,volatility_regime,medium_vol,8,49.59239130434782,3.3377996334169284e-05,0.5007610350076104,2628,52992,False
USDJPY,24,sweep_high,volatility_regime,unknown,1,44.791666666666664,-5.9360846293913e-05,0.5813953488372093,43,960,False
USDJPY,24,sweep_high,volatility_regime,unknown,2,44.791666666666664,-8.006306575203485e-05,0.4883720930232558,43,960,False
USDJPY,24,sweep_high,volatility_regime,unknown,4,44.791666666666664,-0.00016129441792028446,0.4883720930232558,43,960,False
USDJPY,24,sweep_high,volatility_regime,unknown,8,44.791666666666664,-0.0004918894148085675,0.6046511627906976,43,960,False
USDJPY,24,sweep_low,volatility_regime,high_vol,1,48.42842500854117,-4.1460242322500966e-05,0.49382716049382713,2835,58540,False
USDJPY,24,sweep_low,volatility_regime,high_vol,2,48.42842500854117,-3.36155075429455e-05,0.5079365079365079,2835,58540,False
USDJPY,24,sweep_low,volatility_regime,high_vol,4,48.42842500854117,-3.6555265808437176e-05,0.5104056437389771,2835,58540,False
USDJPY,24,sweep_low,volatility_regime,high_vol,8,48.42842500854117,-7.025144914391577e-05,0.508994708994709,2835,58540,False
USDJPY,24,sweep_low,volatility_regime,low_vol,1,40.708225023296876,2.2429233713288107e-05,0.5321285140562249,2490,61167,False
USDJPY,24,sweep_low,volatility_regime,low_vol,2,40.708225023296876,3.610864980696652e-05,0.5333333333333333,2490,61167,False
