pair,lookback_window,event_class,event_side,horizon_bars,mean_forward_return,mean_abs_forward_return,continuation_probability,reversal_probability,sample_count,low_sample
USDJPY,24,breakout,low,4,5.200812548867808e-06,0.000893357907544877,0.46036505867014343,0.5382007822685789,7670,False
USDJPY,24,breakout,low,8,1.8643160233755007e-05,0.0012190468743275605,0.4621903520208605,0.5366362451108214,7670,False
USDJPY,24,sweep,high,1,8.09120772016472e-06,0.0003593498548610351,0.49311169304337926,0.5009677786633269,8783,False
USDJPY,24,sweep,high,2,2.0273530660258605e-05,0.0005136274599291008,0.4981213708300125,0.49755208926334965,8783,False
USDJPY,24,sweep,high,4,3.597844054804746e-05,0.0007247033344350845,0.49721052032335195,0.5001707844699989,8783,False
USDJPY,24,sweep,high,8,3.990341328463991e-05,0.001008226136369914,0.494250256176705,0.5032449049299784,8783,False
USDJPY,24,sweep,low,1,-2.2838725719481975e-06,0.00041976248409858377,0.4756827048114434,0.5179453836150846,7690,False
USDJPY,24,sweep,low,2,8.579504033147597e-06,0.0005805993465460645,0.47152145643693105,0.524187256176853,7690,False
USDJPY,24,sweep,low,4,1.984449378493029e-05,0.0008131873971039409,0.46332899869960986,0.5342002600780235,7690,False
USDJPY,24,sweep,low,8,2.1747979875503935e-05,0.0010802741872637937,0.4598179453836151,0.5383615084525357,7690,False
USDJPY,48,breakout,high,1,1.261833976135514e-05,0.0003788490810859419,0.48388561053109397,0.5111211983658648,6609,False
USDJPY,48,breakout,high,2,4.210344064261836e-06,0.0005191289015576647,0.4834316840671811,0.5129369042215162,6609,False
USDJPY,48,breakout,high,4,1.6318125018113156e-05,0.0007345351258621828,0.4893327280980481,0.5071871690119534,6609,False
USDJPY,48,breakout,high,8,2.0517715767846906e-05,0.001067642128281852,0.49251021334543804,0.5056740807989106,6609,False
USDJPY,48,breakout,low,1,8.161159632431851e-06,0.0005159300210644605,0.44143426294820715,0.5527888446215139,5020,False
USDJPY,48,breakout,low,2,6.497781720322274e-06,0.0006999018554307792,0.4617529880478088,0.5336653386454183,5020,False
USDJPY,48,breakout,low,4,1.541077080392652e-05,0.0009368534842924566,0.4599601593625498,0.5388446215139442,5020,False
USDJPY,48,breakout,low,8,3.7854730001495796e-05,0.0012878918472035011,0.4613545816733068,0.5376494023904382,5020,False
USDJPY,48,sweep,high,1,7.120153178578068e-06,0.000365951779030096,0.4948301329394387,0.49876907927129494,6093,False
USDJPY,48,sweep,high,2,2.5820346527217013e-05,0.0005223144315804781,0.5013950434925324,0.49433776464795665,6093,False
USDJPY,48,sweep,high,4,4.313611912061853e-05,0.0007395870342078606,0.4994255703266043,0.4977843426883309,6093,False
USDJPY,48,sweep,high,8,5.3149954631978965e-05,0.0010322705148576145,0.4979484654521582,0.49958969309043166,6093,False
USDJPY,48,sweep,low,1,-1.3724726161486398e-05,0.00046172249755020993,0.4837162837162837,0.5106893106893107,5005,False
USDJPY,48,sweep,low,2,4.377350111144014e-06,0.0006326013090984943,0.46673326673326676,0.5298701298701298,5005,False
USDJPY,48,sweep,low,4,1.0639788707287053e-05,0.0008776708608423933,0.4673326673326673,0.5308691308691309,5005,False
USDJPY,48,sweep,low,8,6.927087494739995e-06,0.0011654928426566276,0.46893106893106895,0.5292707292707293,5005,False
USDJPY,96,breakout,high,1,2.5944825048223488e-05,0.00038789324425362595,0.4912206473450391,0.5034905859953459,4727,False
USDJPY,96,breakout,high,2,2.704653919686617e-05,0.0005279149964662527,0.49629786333826953,0.5001057753331923,4727,False
USDJPY,96,breakout,high,4,4.795152880421597e-05,0.0007371221635758842,0.5013750793314999,0.49524011000634655,4727,False
USDJPY,96,breakout,high,8,4.460647871846352e-05,0.0010689441025921484,0.5015866299978845,0.4967209646710387,4727,False
USDJPY,96,breakout,low,1,6.2314638788555295e-06,0.000555853917699217,0.4495937405958471,0.5431838699969906,3323,False
USDJPY,96,breakout,low,2,9.920746867768038e-06,0.0007514336123598332,0.4697562443575083,0.5269334938308757,3323,False
USDJPY,96,breakout,low,4,3.597982840346585e-05,0.0009854871296378976,0.4613301233824857,0.537466145049654,3323,False
USDJPY,96,breakout,low,8,5.0538083109643614e-05,0.0013393683279363479,0.4646403851941017,0.534456816130003,3323,False
USDJPY,96,sweep,high,1,9.417937903079594e-06,0.0003669831265167909,0.49988115046351317,0.49346327549322555,4207,False
USDJPY,96,sweep,high,2,3.0469955435034677e-05,0.0005271389701601611,0.5093891133824578,0.4872830995959116,4207,False
USDJPY,96,sweep,high,4,5.9267913122202125e-05,0.0007480814300377635,0.5039220347040646,0.49346327549322555,4207,False
USDJPY,96,sweep,high,8,6.411327062481107e-05,0.0010329087106981086,0.5001188495364868,0.4970287615878298,4207,False
USDJPY,96,sweep,low,1,-1.1106241290462727e-05,0.0005012575636456949,0.4820497084995397,0.512427124884934,3259,False
